"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70566257095355","2.31278883604096","2.37138050589539","4.4792507538341","6.24344359367308","10.3622355709063","10.1191756863307","11.3981130048623","12.7125290504062","14.0309372510392","15.6712543792956","16.535931996325","15.5805501901406","15.914667024505","11.6492060599364","10.3170008115998","10.691005531166","11.9026043633264","12.2975374796389","11.6521451038136","10.82763919432","","","",
"Afghanistan","AFG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33564685","1.18475721","2.12947526","3.94446315","5.34683718","5.29254642","7.38468441","9.43231416","7.23326138","11.06881849","11.13928444","12.90375268","13.2319696","9.87690542","11.65034293","12.99386113","14.07743833","14.72079872","12.95210116","15.73376848","","",
"Africa Western and Central","AFW","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.54581055016499","1.73925644594339","2.03093964493709","2.62364584343647","3.26215931566208","3.6392893565396","4.14073386557816","4.81214627429054","5.54130548166551","5.37325580392939","5.85300185765083","7.34283238909198","7.99705260893496","10.7940404864843","12.214000558412","10.5252760275484","8.36134105639421","6.6660041360218","6.73612966287956","8.03826199952249","8.15558973728658","","","",
"Angola","AGO","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06677545","0.41380439","0.37115247","0.36237507","0.96035795","1.64687813","4.08600685","2.50451824","3.3756031","4.59413915","3.13814963","3.48822728","2.64958313","3.66640233","4.14472398","2.87443001","3.42701097","3.5150855","2.85757574","2.21600488","2.11269093","","","",
"Albania","ALB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0786338","3.25356766","2.72142002","10.38930754","9.03556995","9.08172914","10.79296335","12.37473055","6.11926415","3.91501573","4.88250188","2.35619494","2.22341323","2.96406043","1.81949045","1.79653232","2.42508559","4.66694355","3.71435753","","","","","",
"Andorra","AND","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.559696079509011","1.07635513801665","0.672463470793425","1.16238468588708","1.73483705857693","1.20258388020183","1.87348453627684","1.29228096827651","2.08179116581681","1.69446809383394","1.73714679508295","2.58772267682676","1.62887573554385","1.55492313165087","2.0216204008659","1.37867910346672","1.86058136277391","2.080971271963","","","",
"United Arab Emirates","ARE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Argentina","ARG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21591138","1.34768766","4.38023966","0.89638271","19.51307858","4.62351368","1.47984713","1.30606856","6.87708755","2.2505049","3.09710368","6.97807125","7.09585381","6.31087195","6.7666975","4.32904273","3.54634758","6.61789519","3.40863987","2.31450606","2.47893679","","","",
"Armenia","ARM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23486366","5.65741205","4.62117411","3.41687539","3.85404612","11.00607282","14.28196281","20.58399877","15.28424544","11.30488691","10.82374046","10.22688135","9.85387906","8.20037698","6.25385354","4.01676782","6.85228752","5.39127022","5.34692486","5.46876869","6.08566008","","","",
"American Samoa","ASM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.81067227","0.41710031","0.76497571","0","0.25685132","0.99122188","0.92543306","1.01532931","1.29696665","0.16778674","0.91767198","0.38127039","0","1.73080448","0","0","0.11009792","0.17940825","0.82484336","0.37249128","1.18831477","","","",
"Australia","AUS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Austria","AUT","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Azerbaijan","AZE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37879588","0.23697809","0.1695032","0.62283012","0.48576419","0.30978543","0.8449127","1.27325879","1.34900913","1.52936732","2.11604424","2.38712859","3.94191258","1.84388282","2.66635028","1.83695867","0.7782556","1.01725272","1.08423637","0.57263475","0.57844321","","","",
"Burundi","BDI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06046458","1.73033699","1.25821676","1.29712079","2.3814355","3.61752129","4.54115958","4.74331763","5.28269903","7.61916439","10.77212505","6.35781521","5.83970024","9.10204796","2.3858078","1.84095796","7.26558729","8.54075285","8.30000293","5.12093374","5.08841473","","","",
"Belgium","BEL","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Benin","BEN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.61274353","2.81287065","3.16492752","4.23519121","4.8639265","4.79038351","4.9797276","6.83126461","7.68941874","6.60161407","7.79073828","8.80281206","13.76633723","8.82896324","9.54486591","7.99299591","6.331654","5.56271499","8.94557549","6.6896707","6.44564571","","","",
"Burkina Faso","BFA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56957288","1.47407924","1.8909285","3.62974284","4.56439724","6.19362919","7.30970213","11.64617482","10.60002734","9.50649266","13.6145761","11.03518944","12.9083962","12.51546447","9.05711893","8.00326942","9.30732156","7.75160768","5.92225448","6.48844214","9.83648267","","","",
"Bangladesh","BGD","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67302974","0.8273523","0.93698418","0.99617744","1.11282451","1.09841056","1.00770857","1.16088794","1.33497934","1.70974538","1.90037988","2.00332447","2.18018242","2.46888566","2.52822312","2.61028736","2.4379541","2.55791216","2.60909847","2.65181561","2.7391753","","","",
"Bulgaria","BGR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.38454994","","","",
